Name,Price,Link
New ListingSuper Nintendo SNES Classic Edition Authentic Console w/ Aftermarket Controller,0.99,https://www.ebay.com/itm/285012625921?hash=item425c138a01:g:uokAAOSwEVxjVZtI&amdata=enc%3AAQAHAAAAoPPvpW7AD5iL3o%2FAtdmxEFn5BkksDXNRw3uFKHTd%2B%2FCmKpVdSPgYwEj9%2Fuo5Z1xUc0whaWqu9EDMCllVdo0hh6uv5u382g%2BgM3nhq35IgSjT%2FjlilIkfXBHajAvfwPdWIYp%2FOpuOOPdVyYV1KRsM6cz7CtFwMv%2FOxvdMAB4Htgs6pkj5%2Bbr7M1WhQ8o%2FfVPA09GWenkXlZebm6xwg30NCtc%3D%7Ctkp%3ABk9SR_rPn-mAYQ
Nintendo Super NES Control Deck Model SNS-001 For Parts Or Repair Console Only,1.25,https://www.ebay.com/itm/255787039011?epid=219532720&hash=item3b8e187923:g:mpkAAOSwWK5jUgW8&amdata=enc%3AAQAHAAAAoFmfWEToYTmWOawLwM1tSrxFA1GziQIQs0KqvtH%2BP%2F6%2FSMcgZkzcrrs8upuXq3tnyxMzBTyjNXASe1VtwSrWFc9pDYahYMLrlwW9ZvF6Rxvzwk0xbPYpKqsa5PeVvnulx36Yu54uMJFIUnXK105PBjC0nR5rROjruO4qxyBfIY%2FGyN5DfNfFmaJnerM2k6pdtoE14xbbCywIrwdHiBp8DEI%3D%7Ctkp%3ABk9SR4bwoemAYQ
Super Nintendo Entertainment System SNES Console Only Read Description NO RES,3.25,https://www.ebay.com/itm/334597971178?hash=item4de797dcea:g:MUYAAOSwdY9jT5Iz&amdata=enc%3AAQAHAAAAoLg07r0rzjJ6c%2BrQ51SFQ7HuJCceaU4gRmyxl0uZFSXNX95%2BBBmKSm91PUftiq2WPVQtvGJEt3O6TV6jA%2BHTxujVsaXAlifOmmn%2BRKPFFe27JKqdTB0VsO1ajEosqbSsxCjxOLahKgmM2bIef9cDw%2B3%2F%2Bv48sq4JkkiCYTrCQY4V2Qbm4s4gX43fUeM3VaVZPeSlWRDNDdgu8XJKs8b9nJo%3D%7Ctkp%3ABk9SR4rQn-mAYQ
Super Smash Bros. Ultimate Piranha Plant Stand-Alone Fighter - Nintendo Switch [Digital],4.99,https://bestbuy.com/site/super-smash-bros-ultimate-piranha-plant-stand-alone-fighter-nintendo-switch-digital/6332294.p?skuId=6332294
LEGO - Super Mario Character Packs  Series 4 71402,4.99,https://bestbuy.com/site/lego-super-mario-character-packs-series-4-71402/6485662.p?skuId=6485662
"Super Smash Bros. Ultimate: Challenger Pack 6 - Nintendo Switch, Nintendo Switch Lite [Digital]",5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-6-nintendo-switch-nintendo-switch-lite-digital/6419961.p?skuId=6419961
Super Smash Bros. Ultimate Challenger Pack 3 - Nintendo Switch [Digital],5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-3-nintendo-switch-digital/6379114.p?skuId=6379114
Super Smash Bros. Ultimate Challenger Pack 2: Hero - Nintendo Switch [Digital],5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-2-hero-nintendo-switch-digital/6367467.p?skuId=6367467
"Super Smash Bros. Ultimate Challenger Pack 11 - Nintendo Switch, Nintendo Switch (OLED Model), Nintendo Switch Lite [Digital]",5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-11-nintendo-switch-nintendo-switch-oled-model-nintendo-switch-lite-digital/6486063.p?skuId=6486063
"Super Smash Bros. Ultimate: Challenger Pack 10 - Nintendo Switch, Nintendo Switch (OLED Model), Nintendo Switch Lite [Digital]",5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-10-nintendo-switch-nintendo-switch-oled-model-nintendo-switch-lite-digital/6474051.p?skuId=6474051
Super Smash Bros. Ultimate Challenger Pack 1: Joker - Nintendo Switch [Digital],5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-1-joker-nintendo-switch-digital/6348992.p?skuId=6348992
"Super Smash Bros. Ultimate Challenger Pack 9 - Nintendo Switch, Nintendo Switch Lite [Digital]",5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-9-nintendo-switch-nintendo-switch-lite-digital/6456294.p?skuId=6456294
"Super Smash Bros. Ultimate Challenger Pack 8 - Nintendo Switch, Nintendo Switch Lite [Digital]",5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-8-nintendo-switch-nintendo-switch-lite-digital/6447187.p?skuId=6447187
Super Smash Bros. Ultimate Challenger Pack 7 - Nintendo Switch [Digital],5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-7-nintendo-switch-digital/6437658.p?skuId=6437658
Super Smash Bros. Ultimate: Challenger Pack 5 - Nintendo Switch [Digital],5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-5-nintendo-switch-digital/6400212.p?skuId=6400212
Super Smash Bros. Ultimate Challenger Pack 4: Terry - Nintendo Switch [Digital],5.99,https://bestbuy.com/site/super-smash-bros-ultimate-challenger-pack-4-terry-nintendo-switch-digital/6391200.p?skuId=6391200
LEGO - Super Mario Character Packs – Series 5 71410,5.99,https://bestbuy.com/site/lego-super-mario-character-packs-series-5-71410/6503969.p?skuId=6503969
3 Controllers 2 Charge Stations 3 Games Super Nintendo Sega Gameboy,5.99,https://www.ebay.com/itm/115573702574?hash=item1ae8babfae:g:a7oAAOSwFEJjUbdX&amdata=enc%3AAQAHAAAAoMGLvBA48JYf7XN%2F0n7gCll%2FhMsbjYmETTpckDGMGtaSJtCzzGPqS3n2DFwQmT0ihpX5CF6V3%2Bp6q%2BAwerL6CRcmfrFfr43qqUJZOEVmQkun%2BGnLfYUzZDjbYEGG4z4HQOiNTzVc7L853cUbtBZZNkuOKkS21NdPutxAmjPBVX1%2FGdIVfNnrH0b7V%2FoJLrPdDkGYXuvUn7UTprceFS3aWeg%3D%7Ctkp%3ABk9SR-KPoemAYQ
Super Blackjack Battle II  - The Card Warriors Turbo Edition - Nintendo Switch [Digital],7.99,https://bestbuy.com/site/super-blackjack-battle-ii-the-card-warriors-turbo-edition-nintendo-switch-digital/6291622.p?skuId=6291622
LEGO - Super Mario Goomba’s Shoe Expansion Set 71404,7.99,https://bestbuy.com/site/lego-super-mario-goombas-shoe-expansion-set-71404/6504030.p?skuId=6504030
"Bioworld - Animal Crossing 3-pair Ankle Socks - Tom Nook, Isabelle, KK Slider Character Faces",7.99,https://bestbuy.com/site/bioworld-animal-crossing-3-pair-ankle-socks-tom-nook-isabelle-kk-slider-character-faces/6427865.p?skuId=6427865
Super Nintendo Cap Kit / SMD Restoration Kit / SNS-CPU-GPM-01 and GPM-02,8.5,https://www.ebay.com/itm/224657294232?hash=item344e9e4398:g:kpcAAOSwanliaZuM&amdata=enc%3AAQAHAAAAoGhNTPdBmUTCDRxsFvWE%2F47mtfM1dDDL27InPyVGAHrFxzG9ZyZgbzqS4HyrXClHibgNe07HeUY1wLqcEsG6dJ4%2FOyLxBGTIkpQR%2FjvV%2BaB%2FNveSLT7Qh%2BnGXCSqu1li4MiHTuVHw43Wzw3uGpmoH9SgjVhavBKz%2BI%2BQi3tT1p0a0AUxCdbwXILMlNoG3DrPgaQdWVYe9HiYWpmlzMvZ9Ow%3D%7Ctkp%3ABk9SR_SQpOmAYQ
Super Nintendo Cap Kit / Complete Restoration Kit / SNS-CPU-GPM-01 and GPM-02,8.5,https://www.ebay.com/itm/224442364058?hash=item3441ceb09a:g:qVQAAOSwR8JgiXXI&amdata=enc%3AAQAHAAAAoHD4CeUk3f%2FvomLONDrlCf%2Bfo1oSU1RgQZtHD1eSyoiUSlWI5mZ9NV8zQJg44axERIv8MN5gfZIdhG%2FD6DM%2FlV7%2BQgRGa8OIgEKxzAoXJEhWJfF0V9ju7JyslxmHAUWLHIQrTOATVC9u4MJnl%2FbUF2wljCnRtCjTsWD62QUCeRcLCtUNQW8sJ73c4aWW0nwHRMF%2FDdOWWrqOacXLTh9Jt5A%3D%7Ctkp%3ABk9SR4LhpemAYQ
Super Hornet F/A-18F - Nintendo Gameboy Advance GBA (Used),8.99,https://www.walmart.com/ip/Super-Hornet-F-A-18F-Nintendo-Gameboy-Advance-GBA-Used/927195232?fulfillmentIntent=Shipping
Super Rocket Shootout - Nintendo Switch [Digital],8.99,https://bestbuy.com/site/super-rocket-shootout-nintendo-switch-digital/6246970.p?skuId=6246970
Scribblenauts Mega Pack - Nintendo Switch,9.49,https://bestbuy.com/site/scribblenauts-mega-pack-nintendo-switch/6295330.p?skuId=6295330
"SUPER METBOY! - Nintendo Switch, Nintendo Switch Lite [Digital]",9.99,https://bestbuy.com/site/super-metboy-nintendo-switch-nintendo-switch-lite-digital/6455117.p?skuId=6455117
Super Treasure Arena - Nintendo Switch [Digital],9.99,https://bestbuy.com/site/super-treasure-arena-nintendo-switch-digital/6331621.p?skuId=6331621
"Super Kirby Clash 1,000 Gem Apples [Digital]",9.99,https://bestbuy.com/site/super-kirby-clash-1000-gem-apples-digital/6379129.p?skuId=6379129
Soccer Slammers - Nintendo Switch [Digital],9.99,https://bestbuy.com/site/soccer-slammers-nintendo-switch-digital/6287611.p?skuId=6287611
LEGO - Super Mario Bowser Jr.'s Clown Car Expansion Set 71396,9.99,https://bestbuy.com/site/lego-super-mario-bowser-jr-s-clown-car-expansion-set-71396/6485573.p?skuId=6485573
LEGO - Super Mario Tanooki Mario Power-Up Pack 71385,9.99,https://bestbuy.com/site/lego-super-mario-tanooki-mario-power-up-pack-71385/6434186.p?skuId=6434186
LEGO - Super Mario Penguin Mario Power-Up Pack 71384,9.99,https://bestbuy.com/site/lego-super-mario-penguin-mario-power-up-pack-71384/6434167.p?skuId=6434167
"Bioworld - Animal Crossing 3-pair Ankle Socks - Tom Nook, Isabelle, KK Slider Full Body",9.99,https://bestbuy.com/site/bioworld-animal-crossing-3-pair-ankle-socks-tom-nook-isabelle-kk-slider-full-body/6427864.p?skuId=6427864
SNES Super Nintendo System Top Case Parts leftover from repair.,9.99,https://www.ebay.com/itm/285006721510?hash=item425bb971e6:g:ZkIAAOSwA69jRgmE&amdata=enc%3AAQAHAAAAoJFMOZk8fbl31VR%2BKpxf3c35rgCCiiTFjj4xF54H3QvBKMuHqmrBlSuGTn17Kl2haMn4u%2F7fUGh81h%2FKhuRtiCo%2F25nZzeGmhfe18SDUWiKhvtj5XC3FtQygZ%2FOl0XhYNZ5REI0E9sPeJADMtA7tepwcxHW5NrJr%2BG7SM0GY8NDijDq70qBcjd6QUPJxrwaKNPxZQ5iXqlIbrdc6i5mRRT4%3D%7Ctkp%3ABk9SR_aQpOmAYQ
New ListingSNES Super Nintendo Console Only Tested Powers On But Would Not Load Games.,10.0,https://www.ebay.com/itm/225218485294?epid=219532720&hash=item3470115c2e:g:ejcAAOSwJENjVWnX&amdata=enc%3AAQAHAAAAoBk5ePvKCqCfY%2FXLFCuiLEkUhC7i7lw7GYsi8pLiBK1Cs4d1GaOxzEjQsy9g6KGZ0mgHin0oQa%2B72SqjeOIY8jMxg8VdfJMG%2BBY0iHX4DLz29EaBps2RjUTEFT6eavHnu8YGVSLiD6977%2F0LK9y3TwRdA4KLGPeAWMbpM94OJVvi9FjzmjLluQisF7QOdcDCHbvvPN8avHl2hlcZJ6v4Lvg%3D%7Ctkp%3ABk9SR5yvoOmAYQ
Super Dodgeball - (NESDG) Nintendo Entertainment System - Game Case with Cover,10.49,https://www.walmart.com/ip/Super-Dodgeball-NESDG-Nintendo-Entertainment-System-Game-Case-with-Cover/1870393863?fulfillmentIntent=Shipping
